bar,date,time,csv_CMMA_S,computed_CMMA_S,csv_CMMA_M,computed_CMMA_M,csv_CMMA_L,computed_CMMA_L
0,20241015,0000,nan,0,nan,0,nan,0
1,20241015,0100,nan,0,nan,0,nan,0
2,20241015,0200,nan,0,nan,0,nan,0
3,20241015,0300,nan,0,nan,0,nan,0
4,20241015,0400,nan,0,nan,0,nan,0
5,20241015,0500,nan,0,nan,0,nan,0
6,20241015,0600,nan,0,nan,0,nan,0
7,20241015,0700,nan,0,nan,0,nan,0
8,20241015,0800,nan,0,nan,0,nan,0
9,20241015,0900,nan,0,nan,0,nan,0
10,20241015,1000,nan,0,nan,0,nan,0
11,20241015,1100,nan,0,nan,0,nan,0
12,20241015,1200,nan,0,nan,0,nan,0
13,20241015,1300,nan,0,nan,0,nan,0
14,20241015,1400,nan,0,nan,0,nan,0
15,20241015,1500,nan,0,nan,0,nan,0
16,20241015,1600,nan,0,nan,0,nan,0
17,20241015,1700,nan,0,nan,0,nan,0
18,20241015,1800,nan,0,nan,0,nan,0
19,20241015,1900,nan,0,nan,0,nan,0
20,20241015,2000,nan,0,nan,0,nan,0
21,20241015,2100,nan,0,nan,0,nan,0
22,20241015,2200,nan,0,nan,0,nan,0
23,20241015,2300,nan,0,nan,0,nan,0
24,20241016,0000,nan,0,nan,0,nan,0
25,20241016,0100,nan,0,nan,0,nan,0
26,20241016,0200,nan,0,nan,0,nan,0
27,20241016,0300,nan,0,nan,0,nan,0
28,20241016,0400,nan,0,nan,0,nan,0
29,20241016,0500,nan,0,nan,0,nan,0
30,20241016,0600,nan,0,nan,0,nan,0
31,20241016,0700,nan,0,nan,0,nan,0
32,20241016,0800,nan,0,nan,0,nan,0
33,20241016,0900,nan,0,nan,0,nan,0
34,20241016,1000,nan,0,nan,0,nan,0
35,20241016,1100,nan,0,nan,0,nan,0
36,20241016,1200,nan,0,nan,0,nan,0
37,20241016,1300,nan,0,nan,0,nan,0
38,20241016,1400,nan,0,nan,0,nan,0
39,20241016,1500,nan,0,nan,0,nan,0
40,20241016,1600,nan,0,nan,0,nan,0
41,20241016,1700,nan,0,nan,0,nan,0
42,20241016,1800,nan,0,nan,0,nan,0
43,20241016,1900,nan,0,nan,0,nan,0
44,20241016,2000,nan,0,nan,0,nan,0
45,20241016,2100,nan,0,nan,0,nan,0
46,20241016,2200,nan,0,nan,0,nan,0
47,20241016,2300,nan,0,nan,0,nan,0
48,20241017,0000,nan,0,nan,0,nan,0
49,20241017,0100,nan,0,nan,0,nan,0
50,20241017,0200,nan,0,nan,0,nan,0
51,20241017,0300,nan,0,nan,0,nan,0
52,20241017,0400,nan,0,nan,0,nan,0
53,20241017,0500,nan,0,nan,0,nan,0
54,20241017,0600,nan,0,nan,0,nan,0
55,20241017,0700,nan,0,nan,0,nan,0
56,20241017,0800,nan,0,nan,0,nan,0
57,20241017,0900,nan,0,nan,0,nan,0
58,20241017,1000,nan,0,nan,0,nan,0
59,20241017,1100,nan,0,nan,0,nan,0
60,20241017,1200,nan,0,nan,0,nan,0
61,20241017,1300,nan,0,nan,0,nan,0
62,20241017,1400,nan,0,nan,0,nan,0
63,20241017,1500,nan,0,nan,0,nan,0
64,20241017,1600,nan,0,nan,0,nan,0
65,20241017,1700,nan,0,nan,0,nan,0
66,20241017,1800,nan,0,nan,0,nan,0
67,20241017,1900,nan,0,nan,0,nan,0
68,20241017,2000,nan,0,nan,0,nan,0
69,20241017,2100,nan,0,nan,0,nan,0
70,20241017,2200,nan,0,nan,0,nan,0
71,20241017,2300,nan,0,nan,0,nan,0
72,20241018,0000,nan,0,nan,0,nan,0
